symbolic option
"episod = 0, Step = 19, not reach goal when AllFree -> r1Free(NotLocal) r2AtLever, but reach goal when AllFree -> r1AtLever r2Free(NotLocal)"
"episod = 66, Step = 1, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 66, Step = 9, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 67, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 67, Step = 9, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 68, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 68, Step = 25, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 68, Step = 4, failed when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 69, Step = 5, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 70, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 70, Step = 5, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 70, Step = 7, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 70, Step = 9, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 71, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 71, Step = 9, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 71, Step = 4, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 71, Step = 6, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 72, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 72, Step = 16, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 73, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 73, Step = 14, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 73, Step = 5, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 73, Step = 10, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 74, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 74, Step = 4, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 75, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 75, Step = 4, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 75, Step = 5, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 75, Step = 2, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 76, Step = 21, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 76, Step = 1, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 76, Step = 2, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 76, Step = 8, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 77, Step = 15, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 78, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 78, Step = 5, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 79, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 79, Step = 4, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 79, Step = 7, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 79, Step = 5, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 80, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 80, Step = 5, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 80, Step = 6, failed when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 81, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 81, Step = 23, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 81, Step = 7, failed when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 82, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 82, Step = 1, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 82, Step = 14, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 82, Step = 13, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 83, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 83, Step = 14, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 83, Step = 1, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 83, Step = 3, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 84, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 84, Step = 27, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 84, Step = 3, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 84, Step = 6, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 85, Step = 5, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 86, Step = 4, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 87, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 87, Step = 14, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 87, Step = 2, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 87, Step = 3, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 88, Step = 4, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 89, Step = 5, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 90, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 90, Step = 15, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 91, Step = 9, not reach goal when AllFree -> r1Free(NotLocal) r2AtLever, but reach goal when AllFree -> r1AtLever r2Free(NotLocal)"
"episod = 91, Step = 9, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 91, Step = 5, failed when r1AtLever r2Free -> r1AtLever r2PassMid"
"episod = 92, Step = 9, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 92, Step = 9, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 93, Step = 6, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 93, Step = 2, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 93, Step = 2, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 93, Step = 17, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 94, Step = 6, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 94, Step = 26, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 94, Step = 4, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 94, Step = 6, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 95, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 95, Step = 5, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 95, Step = 2, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 95, Step = 5, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 96, Step = 6, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 96, Step = 1, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 96, Step = 2, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 96, Step = 7, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 97, Step = 10, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 97, Step = 8, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 97, Step = 1, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 97, Step = 13, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 98, Step = 6, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 98, Step = 16, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 98, Step = 6, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 98, Step = 2, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 99, Step = 12, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 99, Step = 4, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 99, Step = 6, failed when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
